FID,the_geom,STRASSE,NAEHE,BEMERKUNG,ID,STATUS,OSM,ZUSTAENDIG,STT_ID,STT_NAME,ZUST_PERS,ERSTELLER,DATUM
Bolzplaetze.1,POINT (3575181.0531399236 5365884.0688049635),Egertweg,39,,6,99,PT hinzu,StBU/VGV-GF,013,Böfingen,Hr. Lieb,Udo Böser (ZS/TG),2012-11-30T00:00:00
Bolzplaetze.2,POINT (3574551.504804729 5366036.925117811),Eichberg Schildwache,,mit Toren und Basketball,8,99,PT hinzu,StBU/VGV-GF,013,Böfingen,Hr. Lieb,Udo Böser (ZS/TG),2012-11-30T00:00:00
Bolzplaetze.3,POINT (3573969.3236203715 5365017.204179262),Eichengrund,104,mit Toren und Basketball,11,99,PT hinzu,StBU/VGV-GF,013,Böfingen,Hr. Lieb,Udo Böser (ZS/TG),2012-11-30T00:00:00
Bolzplaetze.4,POINT (3573937.2878661817 5365069.010570323),Eichengrund,104,mit Toren und Basketball,12,99,PT hinzu,StBU/VGV-GF,013,Böfingen,Hr. Lieb,Udo Böser (ZS/TG),2012-11-30T00:00:00
Bolzplaetze.5,POINT (3569492.835209457 5354753.072701188),Zum Dornhäule,41,mit Toren,24,99,PT hinzu,StBU/VGV-GF,025,Donaustetten,Hr. Lieb,Udo Böser (ZS/TG),2012-11-30T00:00:00
Bolzplaetze.6,POINT (3570295.4793885117 5363813.706174152),Agathe-Streicher-Weg,54,Spielwiese mit Tor,32,99,PT hinzu,StBU/VGV-GF,015,Eselsberg,Hr. Lieb,Udo Böser (ZS/TG),2012-11-30T00:00:00
Bolzplaetze.7,POINT (3570387.0192907676 5364685.831121037),Am Oberberghof,,"mit Toren, Basketball",35,99,PT enthalten,StBU/VGV-GF,015,Eselsberg,Hr. Lieb,Udo Böser (ZS/TG),2012-11-30T00:00:00
Bolzplaetze.8,POINT (3570776.8530124477 5363741.656122767),Buttenweg - Stachelbeerweg,,"mit Skateranlage, Toren, Basketball, Tischtennis",42,99,PT hinzu,StBU/VGV-GF,015,Eselsberg,Hr. Lieb,Udo Böser (ZS/TG),2012-11-30T00:00:00
Bolzplaetze.9,POINT (3571193.1503546312 5364201.723045314),Fort Unterer Eselsberg,Burgunderweg,"mit Toren, Basketball",48,99,PT hinzu,StBU/VGV-GF,015,Eselsberg,Hr. Lieb,Udo Böser (ZS/TG),2012-11-30T00:00:00
Bolzplaetze.10,POINT (3571548.0051160688 5363986.563900552),Fort Unterer Eselsberg,Mähringer Weg,mit Toren,53,99,PT hinzu,StBU/VGV-GF,015,Eselsberg,Hr. Lieb,Udo Böser (ZS/TG),2012-11-30T00:00:00
