time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-02T05:31:01.726Z,61.552,-140.7289,2.4,1.2,ml,,,,0.45,ak,ak16157095,2017-06-02T05:36:59.140Z,"189km NNE of Cape Yakataga, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-06-02T05:19:46.610Z,33.4908333,-116.7888333,5.28,1.11,ml,43,39,0.08593,0.15,ci,ci37659783,2017-06-02T05:23:28.968Z,"9km NE of Aguanga, CA",earthquake,0.16,0.85,0.142,26,automatic,ci,ci
2017-06-02T05:19:29.440Z,38.7804985,-122.7208328,1.83,0.91,md,8,85,0.007749,0.01,nc,nc72809201,2017-06-02T05:49:01.976Z,"3km E of The Geysers, California",earthquake,0.52,0.48,0.27,4,automatic,nc,nc
2017-06-02T05:05:23.896Z,59.5319,-138.8968,3.1,1.8,ml,,,,0.72,ak,ak16157084,2017-06-02T05:17:13.019Z,"47km E of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-06-02T04:53:32.242Z,59.7742,-136.6812,0,1.5,ml,,,,0.69,ak,ak16157082,2017-06-02T04:57:28.340Z,"84km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-02T04:45:11.348Z,61.9031,-149.6086,29.7,1.1,ml,,,,0.79,ak,ak16157080,2017-06-02T04:52:40.150Z,"26km NW of Fishhook, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-06-02T04:35:42.246Z,63.3367,-151.2548,0,2.1,ml,,,,0.85,ak,ak16157076,2017-06-02T04:39:07.097Z,"115km W of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-06-02T04:35:15.520Z,35.4505,-118.3331667,0.72,1.51,ml,20,94,0.1793,0.18,ci,ci37659711,2017-06-02T04:39:14.553Z,"21km SE of Bodfish, CA",earthquake,0.33,0.73,0.188,27,automatic,ci,ci
2017-06-02T04:30:22.090Z,38.3507,-118.9003,6.6,1.5,ml,12,95.29,0.311,,nn,nn00590917,2017-06-02T04:32:01.662Z,"30km SW of Hawthorne, Nevada",earthquake,,,,,automatic,nn,nn
2017-06-02T04:11:33.890Z,-34.8129,-70.4569,123.75,4.3,mb,,103,0.267,0.44,us,us20009j5v,2017-06-02T04:31:12.040Z,"55km ESE of Chimbarongo, Chile",earthquake,7.2,3.6,0.129,17,reviewed,us,us
2017-06-02T03:56:57.280Z,38.3613,-118.8975,17.8,2.3,ml,23,60.94,0.315,,nn,nn00590911,2017-06-02T04:00:02.900Z,"29km SW of Hawthorne, Nevada",earthquake,,,,,automatic,nn,nn
2017-06-02T03:46:06.835Z,60.2822,-152.4008,84.6,1.1,ml,,,,0.31,ak,ak16156611,2017-06-02T03:51:37.537Z,"29km SE of Redoubt Volcano, Alaska",earthquake,,1.8,,,automatic,ak,ak
2017-06-02T03:28:10.835Z,60.2507,-139.5919,0.9,1.9,ml,,,,0.61,ak,ak16156606,2017-06-02T03:34:59.490Z,"78km N of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-06-02T03:27:07.430Z,34.9803333,-119.0371667,18.42,1.49,ml,24,55,0.1895,0.28,ci,ci37659679,2017-06-02T03:30:58.212Z,"11km WNW of Grapevine, CA",earthquake,0.46,0.94,0.186,32,automatic,ci,ci
2017-06-02T03:02:44.410Z,23.8907,-109.0479,10,4.6,mb,,106,0.846,1.16,us,us20009j5n,2017-06-02T05:13:16.784Z,"113km NE of San Jose del Cabo, Mexico",earthquake,6.8,1.9,0.033,268,reviewed,us,us
2017-06-02T02:57:10.900Z,38.7924995,-122.8048325,2.64,0.45,md,7,142,0.01324,0.02,nc,nc72809171,2017-06-02T03:04:02.621Z,"4km WNW of The Geysers, California",earthquake,0.53,1.69,0.12,2,automatic,nc,nc
2017-06-02T02:56:09.515Z,61.7127,-152.4275,154.9,1.8,ml,,,,0.73,ak,ak16156138,2017-06-02T03:03:29.638Z,"126km W of Willow, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-06-02T02:49:45.720Z,44.7771667,-111.1836667,10.01,0.63,md,6,247,0.02784,0.1,uu,uu60198607,2017-06-02T03:11:09.970Z,"14km NNW of West Yellowstone, Montana",earthquake,2.41,2.18,0.31,4,reviewed,uu,uu
2017-06-02T02:41:57.127Z,60.1496,-141.0624,1.2,1.3,ml,,,,0.64,ak,ak16156134,2017-06-02T02:49:24.694Z,"76km E of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-02T02:29:30.020Z,44.7616667,-110.784,1.97,2.59,ml,9,164,0.05435,0.05,uu,uu60198592,2017-06-02T03:06:30.460Z,"27km ENE of West Yellowstone, Montana",earthquake,0.39,31.61,0.219,6,reviewed,uu,uu
2017-06-02T02:27:58.770Z,44.7693333,-110.7783333,4.49,2.23,ml,13,174,0.05479,0.09,uu,uu60198582,2017-06-02T02:54:37.270Z,"28km ENE of West Yellowstone, Montana",earthquake,0.51,0.65,0.307,5,reviewed,uu,uu
2017-06-02T02:25:14.087Z,59.8365,-136.7995,0,1.5,ml,,,,0.73,ak,ak16156131,2017-06-02T02:31:34.526Z,"93km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-06-02T02:21:02.963Z,63.1442,-151.3736,5.4,1.2,ml,,,,0.59,ak,ak16156129,2017-06-02T02:27:06.755Z,"111km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-02T02:04:41.710Z,60.0794,-140.8599,20.8,1.1,ml,,,,1.02,ak,ak16156126,2017-06-02T02:08:15.314Z,"86km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-06-02T02:03:29.040Z,33.5115,-116.454,7.41,0.42,ml,13,101,0.02645,0.16,ci,ci37659655,2017-06-02T02:07:09.774Z,"21km ESE of Anza, CA",earthquake,0.38,0.68,0.135,9,automatic,ci,ci
2017-06-02T01:59:12.622Z,60.2332,-139.6724,0,1.3,ml,,,,0.76,ak,ak16156124,2017-06-02T02:02:56.504Z,"76km N of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-02T01:07:01.060Z,38.1877,-117.4452,33.6,1.3,ml,6,218.87,0.585,,nn,nn00590899,2017-06-02T01:09:19.788Z,"23km NW of Tonopah, Nevada",earthquake,,,,,automatic,nn,nn
2017-06-02T01:00:40.650Z,19.3673333,-155.2926667,3.124,1.17,md,27,59,0.02172,0.09,hv,hv61781571,2017-06-02T03:39:31.830Z,"9km SW of Volcano, Hawaii",earthquake,0.21,0.32,0.128,8,reviewed,hv,hv
2017-06-02T00:46:17.176Z,59.8782,-136.7234,0,1.9,ml,,,,0.96,ak,ak16156104,2017-06-02T00:51:16.767Z,"92km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-02T00:40:21.720Z,41.7999,132.0835,509.57,4.2,mb,,71,2.399,0.56,us,us20009j4w,2017-06-02T01:01:52.040Z,"121km S of Dunay, Russia",earthquake,10.6,8.6,0.035,224,reviewed,us,us
2017-06-02T00:26:36.168Z,62.5831,-148.8673,43.8,2.1,ml,,,,0.7,ak,ak16155640,2017-06-02T00:38:05.573Z,"69km NE of Y, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-06-02T00:12:22.840Z,37.4115,-97.3836,11.81,2.4,mb_lg,,91,0.187,0.53,us,us20009j4r,2017-06-02T05:06:22.180Z,"9km WNW of Belle Plaine, Kansas",earthquake,1.4,4.9,0.082,39,reviewed,us,us
2017-06-01T23:50:35.903Z,37.805,-116.1812,9.1,1.4,ml,10,185.13,0.55,0.1861,nn,nn00590896,2017-06-02T00:44:42.897Z,"45km SSE of Warm Springs, Nevada",earthquake,,2.9,0.16,7,reviewed,nn,nn
2017-06-01T23:45:38.620Z,-2.829,130.1413,29.73,4.6,mb,,64,2.106,0.83,us,us20009j4j,2017-06-02T00:30:24.040Z,"147km ENE of Amahai, Indonesia",earthquake,5.1,5.3,0.083,43,reviewed,us,us
2017-06-01T23:21:44.580Z,36.0068333,-117.8055,1.78,0.36,ml,9,119,0.02444,0.04,ci,ci37659631,2017-06-01T23:58:03.744Z,"12km NE of Little Lake, CA",earthquake,0.15,0.16,0.501,5,reviewed,ci,ci
2017-06-01T23:14:23.377Z,60.2633,-152.4511,79.5,0.6,ml,,,,0.15,ak,ak16155170,2017-06-01T23:19:00.663Z,"29km SSE of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-06-01T23:07:11.680Z,38.8226662,-122.8065033,2.5,0.87,md,13,90,0.002883,0.03,nc,nc72809146,2017-06-01T23:15:04.333Z,"6km NW of The Geysers, California",earthquake,0.33,0.53,0.05,5,automatic,nc,nc
2017-06-01T23:05:21.180Z,34.4516667,-117.9328333,9.77,0.22,ml,7,130,0.01885,0.09,ci,ci37659623,2017-06-01T23:49:56.611Z,"6km SSW of Pearblossum, CA",earthquake,0.35,0.79,0.216,7,reviewed,ci,ci
2017-06-01T22:57:18.240Z,38.821167,-122.7636642,1.78,1.05,md,12,119,0.01049,0.02,nc,nc72809141,2017-06-01T23:05:02.315Z,"3km W of Cobb, California",earthquake,0.28,0.45,0.11,5,automatic,nc,nc
2017-06-01T22:56:06.850Z,38.8233337,-122.7643356,1.48,2.72,md,50,38,0.008353,0.05,nc,nc72809136,2017-06-02T05:05:04.182Z,"3km W of Cobb, California",earthquake,0.14,0.22,0.17,37,automatic,nc,nc
2017-06-01T22:55:55.030Z,29.0096,76.7956,10,4.7,mb,,92,8.597,1.06,us,us20009j48,2017-06-02T05:38:38.117Z,"14km NNW of Kharkhauda, India",earthquake,9.3,1.9,0.055,102,reviewed,us,us
2017-06-01T22:54:24.670Z,-7.5212,129.3405,108.67,4.7,mb,,71,1.994,1.36,us,us20009j45,2017-06-01T23:41:55.040Z,"223km WNW of Saumlaki, Indonesia",earthquake,7.9,6.4,0.142,15,reviewed,us,us
2017-06-01T22:53:35.260Z,33.5013333,-116.5005,14.48,0.93,ml,33,91,0.06154,0.12,ci,ci37659615,2017-06-01T23:46:25.940Z,"17km ESE of Anza, CA",earthquake,0.19,0.3,0.116,20,reviewed,ci,ci
2017-06-01T22:51:17.520Z,38.8125,-122.8208313,1.95,1.11,md,11,68,0.007462,0.03,nc,nc72809131,2017-06-02T00:12:02.500Z,"6km NW of The Geysers, California",earthquake,0.34,0.57,0.03,4,automatic,nc,nc
2017-06-01T22:41:22.970Z,57.2952,-154.3913,16.6,1.6,ml,,,,0.21,ak,ak16155163,2017-06-01T22:49:06.728Z,"36km SW of Larsen Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-06-01T22:39:12.310Z,46.8573333,-121.935,13.25,0.55,ml,7,202,0.07437,0.08,uw,uw61272222,2017-06-02T03:41:26.970Z,"25km E of Eatonville, Washington",earthquake,0.58,0.86,0.092,6,reviewed,uw,uw
2017-06-01T22:39:07.450Z,38.8224983,-122.7648315,1.4,1.54,md,25,53,0.008896,0.03,nc,nc72809126,2017-06-01T23:21:04.347Z,"3km W of Cobb, California",earthquake,0.18,0.31,0.16,9,automatic,nc,nc
2017-06-01T22:37:32.279Z,59.9436,-139.3867,0,1.3,ml,,,,0.97,ak,ak16155161,2017-06-01T22:42:25.641Z,"48km NNE of Yakutat, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-06-01T22:30:35.871Z,60.124,-152.9926,107.8,1.6,ml,,,,0.53,ak,ak16155158,2017-06-02T05:07:55.944Z,"42km SSW of Redoubt Volcano, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2017-06-01T22:13:09.001Z,64.9881,-148.8767,13.8,0.9,ml,,,,0.46,ak,ak16155155,2017-06-01T22:21:56.979Z,"43km WNW of Ester, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-01T22:12:25.730Z,46.9576667,-122.2216667,-0.95,1.09,ml,12,86,0.0292,0.28,uw,uw61272212,2017-06-02T03:58:44.420Z,"10km NNE of Eatonville, Washington",explosion,0.63,31.61,0.055,6,reviewed,uw,uw
2017-06-01T21:55:10.460Z,36.4713,-98.7386,5.23,2.7,mb_lg,,70,0.007,0.27,us,us10008xcl,2017-06-01T22:39:19.672Z,"32km NW of Fairview, Oklahoma",earthquake,2.1,7.3,0.071,51,reviewed,us,us
2017-06-01T21:43:25.266Z,58.2762,-154.9237,0,1.5,ml,,,,0.74,ak,ak16155145,2017-06-01T21:52:46.144Z,"99km NW of Larsen Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-01T21:42:22.226Z,60.6869,-142.0542,8,0.7,ml,,,,0.48,ak,ak16155142,2017-06-02T05:22:01.687Z,"72km NNE of Cape Yakataga, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-06-01T21:41:55.020Z,38.8134995,-122.8186646,2.58,1.85,md,32,49,0.009426,0.04,nc,nc72809111,2017-06-01T22:29:02.180Z,"6km NW of The Geysers, California",earthquake,0.21,0.32,0.1,10,automatic,nc,nc
2017-06-01T21:34:47.810Z,38.8176651,-122.7636642,1.3,1.04,md,20,76,0.01369,0.04,nc,nc72809106,2017-06-01T22:04:03.149Z,"3km W of Cobb, California",earthquake,0.2,0.35,0.22,7,automatic,nc,nc
2017-06-01T21:33:26.340Z,34.2163333,-117.0488333,8.63,1.54,ml,60,49,0.05431,0.12,ci,ci37659535,2017-06-01T22:04:12.340Z,"6km E of Running Springs, CA",earthquake,0.14,0.3,0.167,23,reviewed,ci,ci
2017-06-01T21:19:48.100Z,45.058,-123.082,7.94,1.62,ml,17,97,0.2005,0.55,uw,uw61272197,2017-06-01T21:48:36.930Z,"8km NNW of Keizer, Oregon",earthquake,1.08,41.58,0.212,11,reviewed,uw,uw
