time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-04-16T06:38:08.790Z,51.44,12.129,20.6,3.3,ml,,,,1,us,us20002766,2015-06-26T23:15:53.040Z,"1km NE of Grobers, Germany",earthquake,7.8,9.3,,,reviewed,bgrd,bgrd
2014-05-31T10:37:20.310Z,50.1965,12.4098,10,3.8,mwr,,44,0.918,0.68,us,usc000r9ff,2015-01-29T03:09:17.453Z,"4km NE of Skalna, Czech Republic",earthquake,,1.9,0.063,24,reviewed,us,us
2014-05-17T16:46:27.000Z,49.7934,8.6319,10,3.6,mwr,,56,1.478,1.38,us,usb000qsmq,2015-01-30T03:36:50.700Z,"2km SE of Pfungstadt, Germany",earthquake,,1.6,0.073,18,reviewed,us,us
2013-08-09T10:44:08.000Z,47.242,11.473,6.4,3.7,ml,,,,1.65,us,usb000izfh,2015-01-31T00:00:03.921Z,"1km ENE of Sistrans, Austria",earthquake,,6.8,,,reviewed,us_rom,us_zamg
2013-07-20T03:30:55.000Z,47.421,9.32,4.2,3.6,ml,18,100,,,us,usb000iid5,2014-11-07T01:51:18.516Z,"3km ESE of Andwil, Switzerland",earthquake,,,,,reviewed,zur,zur
2013-02-07T23:19:08.330Z,53.41,6.623,10,3.4,ml,30,81.2,,1.26,us,usc000f3vu,2015-01-30T15:15:22.126Z,"11km NNE of Winsum, Netherlands",earthquake,,,,,reviewed,us,bgs
2012-08-16T20:30:33.400Z,53.342,6.752,3,3.4,ml,67,80.1,,,us,usp000jqd4,2015-03-24T02:16:12.570Z,"The Netherlands",earthquake,,,,,reviewed,dbn,dbn
2011-09-08T19:02:50.300Z,51.683,6.025,6,4.2,mb,101,65.4,,,us,usp000j7t2,2016-02-26T16:54:58.218Z,"Germany",earthquake,,,,3,reviewed,grf,us
2011-09-04T03:52:29.400Z,50.17,12.478,2,4,ml,32,182.8,,,us,usp000j7jv,2014-11-07T01:45:49.970Z,"Czech Republic",earthquake,,,,,reviewed,csem,ldg
2011-02-14T12:43:12.710Z,50.34,7.841,12,3.9,mwr,90,31.8,,,us,usp000huh2,2015-03-24T01:40:28.377Z,"Germany",earthquake,,,,,reviewed,fbb,us
2010-12-23T01:35:58.160Z,49.993,8.224,9,3.4,ml,14,112.9,,,us,usp000hrmk,2014-11-07T01:43:12.785Z,"Germany",earthquake,,,,,reviewed,fbb,fbb
2010-10-19T00:38:28.570Z,47.381,11.644,6.6,4,ml,36,37.1,,1.17,us,usp000hn8y,2015-03-24T01:12:52.236Z,"Austria",earthquake,,6.5,,,reviewed,us,csem
2010-06-29T00:42:46.000Z,50.035,8.311,10,3.4,ml,11,124.7,,,us,usp000hep3,2014-11-07T01:41:45.493Z,"Germany",earthquake,,,,,reviewed,csem,csem
2010-04-11T11:16:16.700Z,50.354,7.339,5,3.4,ml,13,94.7,,,us,usp000hb6f,2014-11-07T01:41:15.272Z,"Germany",earthquake,,,,,reviewed,grf,ldg
2009-07-24T02:58:06.010Z,51.524,6.52,5,4.1,mb,13,119.7,,0.73,us,usp000gzjr,2015-03-24T02:32:24.723Z,"Germany",earthquake,,,,1,reviewed,us,us
2009-05-05T01:39:24.900Z,47.67,7.73,10,3.6,mwr,139,16.6,,,us,usp000gwup,2015-03-24T01:40:44.982Z,"Switzerland",earthquake,,,,,reviewed,str,us
2009-01-04T15:30:30.000Z,47.175,9.36,2.9,4.5,ml,134,29.3,,,us,usp000gs60,2014-11-07T01:38:10.032Z,"Switzerland",earthquake,,,,,reviewed,zur,ldg
2008-12-25T19:21:54.230Z,48.049,9.488,10,3.1,ml,48,49.1,,0.89,us,usp000grfm,2014-11-07T01:38:02.785Z,"Germany",earthquake,,,,,reviewed,us,zamg
2008-12-25T17:50:28.700Z,47.896,7.53,4,2.7,ml,26,68.8,,,us,usp000grfh,2014-11-07T01:38:02.723Z,"Switzerland",earthquake,,,,,reviewed,ldg,ldg
2008-12-25T13:53:17.600Z,51.524,6.675,1,3.2,ml,33,235.8,,,us,usp000grf3,2014-11-07T01:38:02.689Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-12-23T00:50:25.400Z,51.5,6.581,1,2.9,ml,20,289.8,,,us,usp000gr7m,2014-11-07T01:38:01.330Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
2008-12-20T04:48:16.770Z,51.78,7.972,10,3,ml,20,303.6,,0.27,us,usp000gqzw,2014-11-07T01:38:00.205Z,"Germany",earthquake,,,,,reviewed,us,ldg
2008-12-16T11:22:20.300Z,47.2,10.1,10,2.8,ml,19,272.7,,,us,usp000gqqe,2014-11-07T01:37:58.659Z,"Austria",earthquake,,,,,reviewed,fbb,ldg
2008-12-16T00:40:56.600Z,47.441,9.202,7.4,2.5,ml,42,104.5,,,us,usp000gqpn,2014-11-07T01:37:58.579Z,"Switzerland",earthquake,,,,,reviewed,zur,ldg
2008-12-16T00:34:33.290Z,47.449,9.198,7,3.1,ml,59,87.9,,,us,usp000gqpm,2014-11-07T01:37:58.570Z,"Switzerland",earthquake,,,,,reviewed,zur,ldg
2008-12-12T03:02:50.710Z,48.427,9.098,10,2.5,ml,19,270.8,,0.46,us,usp000gqed,2014-11-07T01:37:57.545Z,"Germany",earthquake,,,,,reviewed,us,ldg
2008-12-10T03:28:01.070Z,51.654,6.562,10,3.3,ml,20,291.5,,0.72,us,usp000gqam,2014-11-07T01:37:56.996Z,"Germany",earthquake,,,,,reviewed,us,ldg
2008-12-08T17:21:52.600Z,51.119,6.484,2,3,ml,24,278.9,,,us,usp000gq6x,2014-11-07T01:37:55.853Z,"Germany",earthquake,,,,,reviewed,ldg,ldg
