Stadtteil;m;w;ev;kath;sonst;ledig;verh;verw;gesch;Einwohner
Mitte;0.492239316;0.507760684;0.247521368;0.321435897;0.431042735;0.52;0.329367521;0.066461538;0.08417094;14625
Oststadt;0.489487179;0.510512821;0.260897436;0.320128205;0.418974359;0.503589744;0.350512821;0.068589744;0.077307692;7800
Boefingen;0.478428493;0.521571507;0.289149991;0.323939783;0.386910226;0.388287131;0.465210207;0.073159537;0.073343125;10894
Weststadt;0.484279554;0.515720446;0.224353216;0.305964786;0.469681998;0.473050665;0.386992454;0.057581746;0.082375135;22264
Eselsberg;0.482968018;0.517031982;0.242264762;0.323463073;0.434272165;0.463940778;0.41142791;0.051645365;0.072985946;17291
Soeflingen;0.483154252;0.516845748;0.271353123;0.383445638;0.345201238;0.415224913;0.445456201;0.065288654;0.074030231;10982
Grimmelfingen;0.47941681;0.52058319;0.418524871;0.27787307;0.303602058;0.478559177;0.449399657;0.031732419;0.040308748;1166
Wiblingen;0.48132351;0.51867649;0.242794365;0.380767739;0.376437896;0.376050149;0.480095644;0.076127698;0.067726509;15474
Donautal;0.747252747;0.252747253;0.128205128;0.3003663;0.571428571;0.424908425;0.443223443;0.025641026;0.106227106;273
Jungingen;0.496220139;0.503779861;0.436649531;0.303296039;0.26005443;0.406410644;0.496824917;0.054127608;0.042636831;3307
Unterweiler;0.504876219;0.495123781;0.194298575;0.558139535;0.24756189;0.382595649;0.541635409;0.035258815;0.040510128;1333
Maehringen;0.491694352;0.508305648;0.462624585;0.294019934;0.243355482;0.437707641;0.477574751;0.046511628;0.03820598;1204
Eggingen;0.501094092;0.498905908;0.183078045;0.648431802;0.168490153;0.425966448;0.47702407;0.054704595;0.042304887;1371
Ermingen;0.511627907;0.488372093;0.186046512;0.612956811;0.200996678;0.372923588;0.534053156;0.046511628;0.046511628;1204
Donaustetten;0.499330656;0.500669344;0.208835341;0.576305221;0.214859438;0.411646586;0.492637216;0.054886212;0.040829987;1494
Goegglingen;0.497328108;0.502671892;0.237620235;0.516921981;0.245457784;0.385464909;0.514784467;0.050231564;0.049519059;2807
Einsingen;0.499217527;0.500782473;0.204225352;0.5657277;0.230046948;0.399843505;0.507042254;0.057120501;0.03599374;2556
Lehr;0.505250404;0.494749596;0.41276252;0.307754443;0.279483037;0.423667205;0.485056543;0.052907916;0.038368336;2476
